sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
26,0.2,10,2,5|9,2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000183,3,5|6|9,2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000176|2011_09_26_drive_0029_0000000183,0.667,1.0,4.206,0
27,0.2,10,2,2|7,2011_09_26_drive_0029_0000000168|2011_09_26_drive_0029_0000000179,3,2|7|8,2011_09_26_drive_0029_0000000168|2011_09_26_drive_0029_0000000179|2011_09_26_drive_0029_0000000181,0.667,1.0,4.813,0
28,0.2,8,2,3|5,2011_09_26_drive_0032_0000000219|2011_09_26_drive_0032_0000000222,3,4|5|7,2011_09_26_drive_0032_0000000220|2011_09_26_drive_0032_0000000222|2011_09_26_drive_0032_0000000226,0.333,0.5,1.375,0
29,0.2,13,3,2|6|10,2011_09_26_drive_0032_0000000226|2011_09_26_drive_0032_0000000234|2011_09_26_drive_0032_0000000242,3,2|6|10,2011_09_26_drive_0032_0000000226|2011_09_26_drive_0032_0000000234|2011_09_26_drive_0032_0000000242,1.0,1.0,1.231,0
30,0.2,11,2,0|5,2011_09_26_drive_0032_0000000258|2011_09_26_drive_0032_0000000266,3,0|5|8,2011_09_26_drive_0032_0000000258|2011_09_26_drive_0032_0000000266|2011_09_26_drive_0032_0000000269,0.667,1.0,0.669,0
34,0.2,14,3,2|9|11,2011_09_26_drive_0036_0000000016|2011_09_26_drive_0036_0000000023|2011_09_26_drive_0036_0000000025,3,2|9|11,2011_09_26_drive_0036_0000000016|2011_09_26_drive_0036_0000000023|2011_09_26_drive_0036_0000000025,1.0,1.0,1.021,0
36,0.2,18,4,1|2|13|16,2011_09_26_drive_0036_0000000271|2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000283|2011_09_26_drive_0036_0000000287,3,2|13|16,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000283|2011_09_26_drive_0036_0000000287,1.0,0.75,4.022,0
37,0.2,18,4,2|5|9|14,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000275|2011_09_26_drive_0036_0000000279|2011_09_26_drive_0036_0000000285,3,2|9|14,2011_09_26_drive_0036_0000000272|2011_09_26_drive_0036_0000000279|2011_09_26_drive_0036_0000000285,1.0,0.75,3.865,0
39,0.2,26,5,3|6|11|21|23,2011_09_26_drive_0046_0000000048|2011_09_26_drive_0046_0000000051|2011_09_26_drive_0046_0000000056|2011_09_26_drive_0046_0000000067|2011_09_26_drive_0046_0000000071,3,3|6|11,2011_09_26_drive_0046_0000000048|2011_09_26_drive_0046_0000000051|2011_09_26_drive_0046_0000000056,1.0,0.6,2.23,0
40,0.2,7,1,6,2011_09_26_drive_0051_0000000126,3,0|3|6,2011_09_26_drive_0051_0000000115|2011_09_26_drive_0051_0000000121|2011_09_26_drive_0051_0000000126,0.333,1.0,0.413,0
42,0.2,12,2,1|9,2011_09_26_drive_0051_0000000143|2011_09_26_drive_0051_0000000159,3,0|1|9,2011_09_26_drive_0051_0000000141|2011_09_26_drive_0051_0000000143|2011_09_26_drive_0051_0000000159,0.667,1.0,1.429,0
